Target,lambda (nm),I (e14 W/cm^2),Keldysh parameter,Log. Neg.,W(0),W(pi)
Helium,400,7.297400639449408,1.0606601717798212,0.3734045941541458,0.0468584475153333,-0.0839244520265333
Helium,400,10.946100959174112,0.8660254037844385,0.3820167952895484,-0.0064568855895999,-0.0792293758592
Helium,800,1.824350159862352,1.0606601717798212,0.4110510606445158,0.0813167082714,-0.1082555788661999
Helium,800,2.736525239793528,0.8660254037844385,0.5264559983682208,0.0532549796515333,-0.1366618704860666
Beryllium,400,2.554090223807293,1.1061516300089371,0.5027472460323668,-0.122121111549828,-0.1233328352035053
Beryllium,400,3.83113533571094,0.903169023889928,0.7082033335738824,-0.190302720978,-0.1499750941353333
Beryllium,800,0.6385225559518233,1.1061516300089371,0.608746470727253,-0.0179225989277333,-0.1725776805016
Beryllium,800,0.9577838339277348,0.903169023889928,0.7860978411343386,-0.0949842328166666,-0.2411251679273333
Magnesium,400,1.824350159862352,1.1853269591129698,0.7786551486996093,-0.1606434614083066,-0.1639272122610266
Magnesium,400,2.736525239793528,0.9678154093971983,0.7107491943382328,-0.1910229101961066,-0.1961938871452266
Magnesium,800,0.456087539965588,1.1853269591129698,0.6881835113144358,-0.0553347265911999,-0.2003462359581333
Magnesium,800,0.684131309948382,0.9678154093971983,0.7614104804206093,-0.1208072902902666,-0.2257069646510666
Argon0,400,3.648700319724704,1.2031209415515962,0.1968158587048316,-0.0213671264094266,-0.03901411448484
Argon0,400,5.473050479587056,0.982344135219425,0.1924653484861226,-0.0398105076328,-0.0241438994290666
Argon0,800,0.912175079931176,1.2031209415515962,0.2298663732826244,0.0232743290437333,-0.0526695476458666
Argon0,800,1.368262619896764,0.982344135219425,0.1294097120087016,-0.0089364950194533,-0.02543406303468
Neon0,400,5.473050479587056,1.1489125293076057,0.1358348152760246,-0.0232758763500866,0.0135703408827133
Neon0,400,8.209575719380585,0.938083151964686,0.2184699655845655,-0.00505116272832,-0.01371466364608
Neon0,800,1.368262619896764,1.1489125293076057,0.1547689849027082,0.0229814096349133,-0.0309978895114866
Neon0,800,2.052393929845146,0.938083151964686,0.112249052715654,-0.0259664569628,0.0036348980188
