source,kind,cx,cy,radius,coherence_q,coherence_max_med,m_star,purity,parity_odd,coverage,borgt_slope,borgt_intercept,contrast_f50,contrast_f70,contrast_f90
Generalized angle-OAM Talbot effect\12-to-2\signal.png,image,545.5905105004468,486.1787030831099,374.68227424749165,4366.8076171875,999998.875,2,0.10762879252433777,0.509472368568252,0.025,,,0.0,0.0,31249.751953125
Generalized angle-OAM Talbot effect\12-to-2\stage3.png,image,499.1319795628824,471.7370418403851,49.297658862876254,1.3421051502227783,1.8444443941116333,22,0.0019531745929270983,0.4921764755903694,0.14027777777777778,0.007769851290379988,0.26187073461246196,1.3142856359481812,1.3783783912658691,1.3142857551574707
Generalized angle-OAM Talbot effect\12-to-2\stage4.png,image,498.39542151799003,472.19023899150835,32.006688963210706,1.3421052694320679,1.9318182468414307,2,0.0027968951035290956,0.5119754979197602,0.11666666666666667,0.05303160523472679,0.140277629852026,1.3428571224212646,1.3333332538604736,1.3888888359069824
Generalized angle-OAM Talbot effect\12-to-3\signal.png,image,510.5076960927529,450.12107699168115,379.3979933110368,19607.826171875,254.99998474121094,3,0.22494599223136902,0.5909704184483819,0.08611111111111111,,,0.0,0.0,43477.78125
Generalized angle-OAM Talbot effect\12-to-3\stage3.png,image,491.553563034281,468.9930010272124,11.57190635451505,1.32758629322052,1.9538460969924927,1,0.004539325833320618,0.5998177029139864,0.16111111111111112,-0.1441695376457277,0.6511069511148139,1.4705883264541626,1.4600000381469727,1.3454545736312866
Generalized angle-OAM Talbot effect\12-to-3\stage4.png,image,492.0574832971616,470.7646453040555,116.88963210702342,1.3973214626312256,3.2686564922332764,3,0.001665427116677165,0.5520180007109011,0.013888888888888888,0.014338355627210935,0.22835888784510427,1.3157895803451538,1.3773585557937622,1.3214285373687744
Generalized angle-OAM Talbot effect\3-to-4\signal.png,image,592.9087976643161,471.92445522291416,355.81939799331104,19108.248046875,156.99998474121094,4,0.12964875996112823,0.5456992295877575,0.05416666666666667,-2.2321002722685317,23.566096584533387,124996.0234375,142851.953125,30769.107421875
Generalized angle-OAM Talbot effect\3-to-4\stage3.png,image,587.5075400725202,473.3090751973974,11.57190635451505,1.25,1.6400001049041748,4,0.002358568599447608,0.5641988291303356,0.1361111111111111,0.2776754343501525,-0.3088967988515802,1.2380951642990112,1.209302306175232,1.4749999046325684
Generalized angle-OAM Talbot effect\3-to-4\stage4.png,image,587.058427475198,473.18366155963383,11.57190635451505,1.2790697813034058,1.3600000143051147,4,0.0010784401092678308,0.48220403584950505,0.23472222222222222,0.13292861130266845,-0.041637948722009994,1.243902325630188,1.1904761791229248,1.3571428060531616
Generalized angle-OAM Talbot effect\4-to-3\signal.png,image,592.357782079848,444.83697994667057,390.40133779264215,9708.7158203125,999997.75,3,0.17420828342437744,0.5625293771026242,0.06944444444444445,,,0.0,0.0,8264.4462890625
Generalized angle-OAM Talbot effect\4-to-3\stage3.png,image,584.9043659224687,470.94169482080036,10.0,1.3125,1.4324324131011963,5,0.0020240454468876123,0.449702851724055,0.31666666666666665,-0.0242484292959166,0.3371742856374644,1.34375,1.344827651977539,1.3235293626785278
Generalized angle-OAM Talbot effect\4-to-3\stage4.png,image,584.5677255377749,471.80180483355326,10.0,1.272727131843567,1.4054054021835327,4,0.003059988608583808,0.3675813742991698,0.30416666666666664,0.15164211024535407,-0.06755190434778434,1.1714285612106323,1.310344934463501,1.272727370262146
Generalized angle-OAM Talbot effect\6-to-2\signal.png,image,499.48927382089477,464.2531429899063,363.6789297658863,7407.39501953125,999998.375,2,0.09804408252239227,0.49381462657685266,0.03333333333333333,,,0.0,0.0,0.0
Generalized angle-OAM Talbot effect\6-to-2\stage3_4.png,image,492.5092583734138,472.81603277177175,35.15050167224081,1.3589743375778198,1.6304348707199097,8,0.0027949167415499687,0.5190256769141856,0.19722222222222222,0.064404896075306,0.12248466153728357,1.3714284896850586,1.361111044883728,1.428571343421936
Generalized angle-OAM Talbot effect\6-to-4\signal.png,image,592.379804718297,455.4772515010007,377.82608695652175,37371.0859375,194.0,4,0.18634626269340515,0.24238949969423243,0.05,,,0.0,0.0,7518.7822265625
